ImageNumber,Total Pollen Count,Anom Pollen Count,Alive Pollen Count,Dead Pollen Count,"p(Enriched)
anom","p(Enriched)
alive","p(Enriched)
dead","Enriched Score
anom","Enriched Score
alive","Enriched Score
dead"
1,140,42,0,98,0.4316323206908672,0.1741796536051754,0.6630810796605577,-0.11951541618589734,-0.67588815620479148,0.29404123562052775
2,142,33,2,107,0.20573879669651046,0.4392297781375192,0.8239640605611461,-0.58664715395231271,-0.1060931675915191,0.67030692688906279
8,64,24,0,40,0.6508429099185085,0.2643966454007439,0.42320746071646587,0.27045531276906321,-0.44438776047222073,-0.13446631895616037
3,118,29,4,85,0.2561851711000379,0.6605678658381533,0.7198653593028054,-0.46291084468318877,0.28916448832094199,0.40988445951483077
9,33,10,0,23,0.46787608004824754,0.34005858067983147,0.5864331154802007,-0.055881939049676088,-0.28795164860863409,0.15167273036027046
4,134,43,4,87,0.5072945483430525,0.628523432453352,0.4855642022673831,0.012672827526723107,0.22839004958003126,-0.025084520631700691
5,81,38,0,43,0.8662317433485,0.23632580035909137,0.18491205529490393,0.81128102743139141,-0.50939698104070608,-0.64423924409122779
6,43,15,5,23,0.5690341334002378,0.9022393930500322,0.2534393434058004,0.12069544375599023,0.9651578958494349,-0.46919106430348828
7,19,5,4,10,0.4203501558754578,0.9287758950061921,0.33089955258316217,-0.13955451061364113,1.1152839348345045,-0.30579514034457922
