ImageNumber,Total_Cell Count,Alive_Cell_Count,Dead_Cell_Count,Anom_Cell_Count,"p_Enriched_
Alive","p_Enriched_
Dead","p_Enriched_
Anom","Enriched_Score
Alive","Enriched_Score
Dead","Enriched_Score
Anom"
1,37,21,8,8,0.373547264,0.6101796,0.55992353,-0.224542751,0.194593122,0.104600571
2,64,45,5,14,0.456760935,0.440143592,0.604365425,-0.075302041,-0.104482269,0.184005373
8,60,47,8,5,0.556667935,0.537707027,0.398247621,0.098867062,0.06562842,-0.179264626
3,46,33,6,7,0.481840875,0.525458481,0.500384942,-0.031559512,0.044264189,0.000668714
9,22,19,0,3,0.558266048,0.428407616,0.491263002,0.101680436,-0.125229251,-0.015179265
4,80,55,13,12,0.42218417,0.612513708,0.496390642,-0.136287491,0.198859469,-0.006270205
10,42,35,1,6,0.583091884,0.394731438,0.490472234,0.145696647,-0.185646399,-0.016553429
5,54,43,6,5,0.565421256,0.499981911,0.420186322,0.114303651,-3.14E-05,-0.139846545
6,71,49,9,13,0.434046593,0.531176494,0.554409766,-0.115244326,0.054229469,0.094895208
7,70,55,5,10,0.56886032,0.42171933,0.484463687,0.120387646,-0.137115168,-0.026998032
